SKU,Product_Name,Total_Revenue
GGOEGOCB017499,Leatherette Journal,9880.823137
GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,6824.483593
GGOEGOLC014299,Google Metallic Notebook Set,6784.19356
GGOEGBRJ037399,Google Rucksack,5982.560928
GGOEGEVR014999,Google Water Resistant Bluetooth Speaker,5518.043683
GGOEGBJC019999,Collapsible Shopping Bag,5237.572317
GGOEGOCL077699,Google Hard Cover Journal,5061.555704
GGOEGBRA037499,Waterproof Backpack,4872.377454
GGOEGBMJ013399,Sport Bag,4821.48242
GGOEGOLC013299,Spiral Notebook and Pen Set,4711.375141